osmid,geometry,amenity,capacity,divvy:id,name,operator,element_type,network,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,brand,brand:wikidata,brand:wikipedia,opening_hours,shop,payment:credit_cards,payment:app,payment:subscription
2480305253,POINT (-87.65538599999999 41.871662),bicycle_rental,15,320,May St & Polk St,Divvy,node,,,,,,,,,,,,,,
2480305257,POINT (-87.623727 41.864059),bicycle_rental,19,168,Michigan Ave & 14th St,Divvy,node,,,,,,,,,,,,,,
2480305261,POINT (-87.623633 41.857937),bicycle_rental,15,273,Michigan Ave & 18th St,Divvy,node,,,,,,,,,,,,,,
2480305265,POINT (-87.62408000000001 41.87785),bicycle_rental,23,284,Michigan Ave & Jackson Blvd,Divvy,node,,,,,,,,,,,,,,
2480305270,POINT (-87.621743 41.89691),bicycle_rental,15,173,Mies van der Rohe Way & Chicago Ave,Divvy,node,,,,,,,,,,,,,,
2480305274,POINT (-87.693033 41.920195),bicycle_rental,19,222,Milwaukee Ave & Rockwell St,Divvy,node,,,,,,,,,,,,,,
2480305278,POINT (-87.681391 41.912616),bicycle_rental,15,158,Milwaukee Ave & Wabansia Ave,Divvy,node,,,,,,,,,,,,,,
2480305282,POINT (-87.638181 41.963982),bicycle_rental,15,249,Montrose Harbor,Divvy,node,,,,,,,,,,,,,,
2480305287,POINT (-87.651062 41.862378),bicycle_rental,15,137,Morgan Ave & 14th Pl,Divvy,node,,,,,,,,,,,,,,
2480305291,POINT (-87.6512321 41.8377876),bicycle_rental,11,280,Morgan St & 31st St,Divvy,node,,,,,,,,,,,,,,
2480305295,POINT (-87.65103000000001 41.871737),bicycle_rental,15,241,Morgan St & Polk St,Divvy,node,,,,,,,,,,,,,,
